2013020176, NYR, v
2013020176, NYI, h
2013020177, ANA, v
2013020177, PHI, h
2013020178, DAL, v
2013020178, MTL, h
2013020179, TBL, v
2013020179, NJD, h
2013020180, OTT, v
2013020180, CHI, h
2013020181, WPG, v
2013020181, STL, h
2013020182, TOR, v
2013020182, EDM, h
2013020183, LAK, v
2013020183, PHX, h
2013020184, BOS, v
2013020184, PIT, h
2013020185, TOR, v
2013020185, CGY, h
2013020186, DET, v
2013020186, VAN, h
2013020187, SJS, v
2013020187, LAK, h
2013020188, ANA, v
2013020188, BOS, h
2013020189, BUF, v
2013020189, NYR, h
2013020190, NSH, v
2013020190, PHX, h
2013020191, WSH, v
2013020191, PHI, h
2013020192, CBJ, v
2013020192, PIT, h
2013020193, TBL, v
2013020193, CAR, h
2013020194, NYI, v
2013020194, OTT, h
2013020195, STL, v
2013020195, FLA, h
2013020196, MTL, v
2013020196, MIN, h
2013020197, COL, v
2013020197, DAL, h
2013020198, DET, v
2013020198, CGY, h
2013020199, CHI, v
2013020199, WPG, h
2013020200, ANA, v
2013020200, BUF, h
2013020201, STL, v
2013020201, TBL, h
2013020202, PHI, v
2013020202, NJD, h
2013020203, BOS, v
2013020203, NYI, h
2013020204, CAR, v
2013020204, NYR, h
2013020205, FLA, v
2013020205, WSH, h
2013020206, PIT, v
2013020206, CBJ, h
2013020207, TOR, v
2013020207, VAN, h
2013020208, MTL, v
2013020208, COL, h
2013020209, DET, v
2013020209, EDM, h
2013020210, NSH, v
2013020210, LAK, h
2013020211, PHX, v
2013020211, SJS, h
2013020212, DAL, v
2013020212, OTT, h
2013020213, CGY, v
2013020213, CHI, h
2013020214, NJD, v
2013020214, MIN, h
2013020215, ANA, v
2013020215, NYR, h
2013020216, DET, v
2013020216, WPG, h
2013020217, DAL, v
2013020217, BOS, h
2013020218, NYI, v
2013020218, WSH, h
2013020219, OTT, v
2013020219, CBJ, h
2013020220, STL, v
2013020220, MTL, h
2013020221, EDM, v
2013020221, FLA, h
2013020222, PHI, v
2013020222, CAR, h
2013020223, CGY, v
2013020223, MIN, h
2013020224, VAN, v
2013020224, PHX, h
2013020225, BUF, v
2013020225, SJS, h
2013020226, PIT, v
2013020226, NYR, h
2013020227, WPG, v
2013020227, CHI, h
2013020228, NSH, v
2013020228, COL, h
2013020229, PHX, v
2013020229, ANA, h
2013020230, FLA, v
2013020230, BOS, h
2013020231, MTL, v
2013020231, OTT, h
2013020232, NJD, v
2013020232, PHI, h
2013020233, MIN, v
2013020233, WSH, h
2013020234, NYI, v
2013020234, CAR, h
2013020235, NYR, v
2013020235, CBJ, h
